threads,power,execution_time,mean_cycles,mean_mperf,mean_aperf,main_voltage
27,210.947,10.011695247,24918361784.88889,19966132632.592594,24909923489.37037,1.006238
27,209.798,10.013556105,24906471307.851852,19966061222.962963,24901359569.407406,1.007762
27,208.715,10.012625315,24898377433.555557,19965936477.77778,24895627472.444443,1.007476
27,206.673,10.014563600,24898755766.851852,19966731572.592594,24894700994.925926,1.007524
27,204.929,10.014476604,24914436875.333332,19966250490.37037,24904345716.814816,1.007476
27,204.819,10.012190896,24926155875.74074,19965549890.37037,24923755679.851852,1.006857
27,203.639,10.012473906,24907008658.666668,19965909391.11111,24902418300.37037,1.006905
27,202.72,10.012545119,24925929128.407406,19966116770.37037,24910101054.296295,1.006286
27,202.321,10.012240705,24917195262.296295,19966634080.74074,24911142318.703705,1.007476
28,183.067,10.009808761,25459043976.67857,19966146421.42857,25455289851.892857,0.902286
28,182.302,10.009798551,25458767230.464287,19966233235.714287,25455387619.57143,0.901714
28,181.466,10.008720906,25732016977.57143,19966794793.57143,25455792503.92857,0.902286
28,181.389,10.009369725,25456780467.785713,19965531872.857143,25454444349.857143,0.901714
28,181.255,10.010248215,25477006741.785713,19965704459.285713,25454756428.392857,0.901714
28,179.822,10.009456686,25625734861.642857,19967302767.142857,25456548506.5,0.901714
28,186.776,10.008483169,25457467432.142857,19965870111.42857,25455036132.75,0.901714
28,185.924,10.010994964,25457471188.107143,19965497825.714287,25454514736.5,0.901714
28,185.193,10.010167350,25591409801.25,19966599057.857143,25455729514.642857,0.902286
28,184.056,10.009099463,25490196199.07143,19965734408.57143,25454791324.32143,0.902286
29,189.776,10.010245459,25456484438.896553,19965924861.37931,25454799586.206898,0.902286
29,188.793,10.009781611,25458721956.41379,19965832460.0,25454759652.206898,0.902286
29,183.94,10.511527471,25497151624.96552,19966058882.75862,25454935803.344826,0.901636
29,190.573,10.010293458,25471702501.827587,19965986144.827587,25454902248.517242,0.902286
29,190.154,10.008776791,25472367174.103447,19966301811.03448,25455390686.37931,0.901048
29,189.637,10.009237054,25473553164.96552,19965753621.37931,25454665272.96552,0.902286
29,187.681,10.009904445,25465564818.827587,19965888404.827587,25454628503.448277,0.902286
29,186.752,10.010010946,25457690914.724136,19966153612.41379,25455013540.58621,0.902286
29,184.716,10.009164796,25471392947.13793,19966370297.24138,25455403037.275864,0.902286
29,184.741,10.009343802,25490149459.206898,19965622892.41379,25454412448.344826,0.902286
30,191.858,10.511269602,25461167617.3,19967176292.666668,25456413217.433334,0.901636
30,186.569,10.009011068,25492446330.733334,19965449096.666668,25454309267.766666,0.902286
30,186.435,10.009690052,25457340955.866665,19965966867.333332,25454841969.766666,0.902286
30,185.185,10.010137595,25458457799.433334,19965919234.0,25454938914.533333,0.902286
30,192.413,10.009204810,25503373250.166668,19966031712.666668,25454809897.033333,0.902286
30,191.801,10.510100663,25508643091.433334,19966077036.666668,25455101693.666668,0.900000
30,186.828,10.008446885,25465782808.833332,19966756925.333332,25455914762.7,0.899429
30,186.714,10.008324342,25461930643.966667,19965639318.0,25454454453.7,0.902286
30,186.317,10.008352502,25468099109.066666,19965622480.666668,25454439547.8,0.899143
30,193.891,10.008494675,25549467053.133335,19965892019.333332,25454631649.7,0.898286
31,197.561,10.510172048,25458315978.580647,19966805954.83871,25455908612.451614,0.896455
31,193.589,10.008281134,25471460252.032257,19965740209.677418,25454486043.064518,0.896857
31,190.536,10.508756811,25459256575.64516,19967536244.51613,25456668635.16129,0.884273
31,194.929,10.516152665,25471927634.48387,19966604380.64516,25455620630.096775,0.895273
31,189.934,10.010009340,25456951861.064518,19965918954.83871,25454722343.16129,0.896857
31,189.2,10.510350424,25463108964.870968,19966148865.16129,25454868368.225807,0.896455
31,191.426,10.007966683,25484758749.0,19965462199.35484,25454220679.35484,0.896286
31,190.968,10.511034276,25472885998.903225,19966981063.225807,25455918899.870968,0.896455
31,195.258,10.012356616,25488022607.64516,19966272769.032257,25455340738.903225,0.895333
31,194.886,10.510695255,25602569825.677418,19966863470.322582,25455699350.935482,0.895909
32,193.114,10.510001889,25473732851.34375,19972213775.625,25462513054.34375,0.894455
32,198.227,10.510193526,25490320321.09375,19972135231.25,25462622808.90625,0.896455
32,191.671,10.513065383,25479563653.09375,19972390829.375,25462941312.375,0.896182
32,195.588,10.510899657,25479757351.5,19971829023.125,25462274494.6875,0.895909
32,200.157,10.010129438,25470745966.09375,19970897953.125,25461028505.75,0.896857
32,199.31,10.509890691,25482267039.9375,19971021993.75,25461212252.875,0.896455
32,194.029,10.509747585,25465968606.53125,19971170850.625,25461283589.25,0.895909
32,198.325,10.509089138,25469543406.28125,19972487020.0,25462931927.53125,0.895909
32,193.303,10.509117135,25466942014.8125,19972471665.0,25462956648.15625,0.896182
32,192.98,10.510388805,25465417913.4375,19971083510.625,25461069410.25,0.896455
