threads,core,cycles
2,20,579549.0
2,21,470479.0
2,22,744530.0
2,23,667473.0
2,24,642091.0
2,25,758314.0
2,26,794064.0
2,27,694296.0
2,28,748577.0
2,29,2168399.0
2,30,1781568.0
2,31,1060568.0
2,0,29891986484.0
2,1,29901796963.0
2,2,438670490.0
2,3,371139.0
2,4,955973.0
2,5,139228.0
2,6,11630552.0
2,7,212534.0
2,8,976778.0
2,9,1146161.0
2,10,1766548.0
2,11,403754.0
2,12,6957918.0
2,13,337813.0
2,14,4911431.0
2,15,611837.0
2,16,1709725.0
2,17,458460.0
2,18,509258.0
2,19,543743.0
2,20,437615.0
2,21,500087.0
2,22,570028.0
2,23,523287.0
2,24,405415.0
2,25,431422.0
2,26,525747.0
2,27,369030.0
2,28,424997.0
2,29,1383323.0
2,30,1949822.0
2,31,254397.0
2,0,29901388586.0
2,1,29908065905.0
2,2,436098022.0
2,3,254701.0
2,4,232109.0
2,5,186530.0
2,6,11589442.0
2,7,272065.0
2,8,552306.0
2,9,563092.0
2,10,1278689.0
2,11,640752.0
2,12,888552.0
2,13,644177.0
2,14,620718.0
2,15,593246.0
2,16,1720471.0
2,17,424584.0
2,18,417027.0
2,19,496682.0
2,20,435639.0
2,21,393572.0
2,22,505046.0
2,23,481699.0
2,24,415977.0
2,25,452386.0
2,26,6496165.0
2,27,4702161.0
2,28,369181.0
2,29,1985402.0
2,30,1819031.0
2,31,1955317.0
2,0,29874967218.0
2,1,29887210694.0
2,2,436891104.0
2,3,1506015.0
2,4,2008885.0
2,5,5018216.0
2,6,6878878.0
2,7,418935.0
2,8,1428086.0
2,9,1332497.0
2,10,1685243.0
2,11,612452.0
2,12,1412991.0
2,13,7708771.0
2,14,880398.0
2,15,5200130.0
2,16,1888573.0
2,17,520370.0
2,18,659353.0
2,19,617569.0
2,20,489915.0
2,21,448199.0
2,22,591850.0
2,23,535493.0
2,24,755308.0
2,25,486381.0
2,26,501298.0
2,27,649969.0
2,28,1228376.0
2,29,2140492.0
2,30,4176192.0
2,31,623472.0
2,0,29890649953.0
2,1,29900920392.0
2,2,436251567.0
2,3,480235.0
2,4,1226939.0
2,5,6929631.0
2,6,4273281.0
2,7,225282.0
2,8,737801.0
2,9,355667.0
2,10,1152665.0
