threads,power,execution_time,mean_cycles,min_cycles,max_cycles
13,146.095,10.004780107,24580066305.076923,-1336437532.0769234,507362874.9230766
13,145.372,10.004785314,24582968794.923077,-1366719242.9230766,506027893.0769234
13,144.843,10.005411121,24569295291.692307,-1339240386.6923065,521818350.3076935
13,144.555,10.004331010,24580300122.53846,-1328201420.5384598,506661950.4615402
13,144.588,10.005380894,24572538881.846153,-1350089515.8461533,516410415.15384674
14,151.536,10.005350737,24601063900.42857,-1337341002.4285698,487580911.5714302
14,151.268,10.004619110,24599978091.0,-1347047951.0,490837195.0
14,150.372,10.007411921,24604161228.5,-1339719135.5,487169685.5
14,150.032,10.005670428,24601745999.214287,-1349408354.2142868,486812366.7857132
14,150.537,10.004905362,24607598889.214287,-1334619478.2142868,480222142.7857132
14,149.954,10.005285729,24588948752.714287,-1328020220.7142868,499872543.2857132
14,150.03,10.004747555,24611263535.857143,-1279463392.8571434,476174397.1428566
14,150.018,10.004912296,24600647570.57143,-1333634917.5714302,486775059.4285698
14,149.374,10.005398155,24607947994.5,-1353709889.5,481890625.5
14,149.408,10.005151095,24601898831.857143,-1352413515.8571434,488052151.1428566
15,155.824,10.005028310,24578806398.466667,-1308636074.4666672,513098094.5333328
15,155.883,10.004617335,24580932611.466667,-1289109563.4666672,507865776.5333328
15,155.553,10.004779315,24568642103.266666,-1346738019.2666664,524010587.7333336
15,155.666,10.004806432,24570873563.133335,-1262092237.133335,526850895.8666649
15,154.618,10.004526378,24571187362.733334,-1271454690.7333336,517727829.2666664
15,153.804,10.004898754,24584297571.8,-1274191768.7999992,506821478.20000076
15,153.618,10.005318745,24621737532.4,-1332088051.4000015,471662051.5999985
15,153.597,10.004941715,24601137128.666668,-1318177392.666668,491344900.33333206
15,153.276,10.005496222,24599838905.4,-1280185001.4000015,493410334.5999985
15,153.304,10.005296253,24585026715.133335,-1269321052.133335,507644557.8666649
16,160.222,10.004509179,24607999948.1875,-1268329335.1875,478382258.8125
16,160.504,10.004616476,24624162949.4375,-1270244581.4375,462363982.5625
16,159.964,10.009052820,24621390888.8125,-1271732081.8125,467599756.1875
16,160.075,10.005104136,24620676297.9375,-1271734288.9375,469959636.0625
16,159.704,10.006874715,24625183101.75,-1267955342.75,464383560.25
16,159.237,10.004896630,26209987956.0625,-2869874515.0625,23733854060.9375
16,158.619,10.006134220,24611425826.0,-1261294665.0,478538357.0
16,158.349,10.004922797,24606068808.0625,-1252807700.0625,483435839.9375
16,158.469,10.005083084,24607954111.5625,-1261571339.5625,480828325.4375
16,158.129,10.006395133,24616259526.8125,-1276539753.8125,473818391.1875
17,160.733,10.005058048,24908148267.588234,-1504112756.588234,5033434793.411766
17,160.045,10.005456419,24918915118.294117,-1521416457.294117,5024240295.705883
17,165.234,10.004814357,24909526766.35294,-1520108417.3529396,5032519339.64706
17,165.594,10.004636193,24909796153.0,-1509454198.0,5030510901.0
17,165.473,10.004972871,24909347503.294117,-1511130210.294117,5034963597.705883
17,165.949,10.004965820,24913844411.17647,-1510579786.1764717,5028159595.823528
17,165.52,10.005074270,24918855799.117645,-1533126111.1176453,5022108826.882355
17,165.59,10.004873206,24903226585.17647,-1516447462.1764717,5040295334.823528
17,164.844,10.004978175,24928349929.0,-1510530000.0,5015579635.0
17,164.454,10.005173658,24911305527.117645,-1518161514.1176453,5029684624.882355
18,165.947,10.004773954,25178660569.333332,-1750795794.333332,4747075160.666668
18,164.487,10.004767684,25188743779.5,-1750870405.5,4756113199.5
18,164.535,10.004557713,25187644726.944443,-1791816904.9444427,4753466921.055557
18,164.382,10.005315111,25183538836.444443,-1809454934.4444427,4753720603.555557
18,170.563,10.004710483,25445546737.27778,-1982579617.2777786,4499465016.722221
18,170.501,10.005121094,25195395015.0,-1740651119.0,4746870871.0
18,170.431,10.005167438,25184151804.444443,-1737875145.4444427,4757115403.555557
18,169.763,10.005417819,25183943801.944443,-1808265591.9444427,4759777301.055557
18,170.146,10.005059019,25203624180.72222,-1790996816.7222214,4739220993.277779
18,169.861,10.005305981,25185918302.0,-1805406611.0,4753121920.0
19,171.314,10.004824922,25108301223.42105,-1872124428.421051,3076550820.578949
19,171.011,10.005786469,25095908305.42105,-1866348485.421051,3081585266.578949
19,171.194,10.006694412,25103734406.36842,-1863451707.3684196,3077833310.6315804
19,170.891,10.007347241,25106068591.36842,-1877961744.3684196,3086390329.6315804
19,170.836,10.005324835,25125716076.789474,-1739098045.7894745,3053073448.2105255
19,170.298,10.005272216,25122155868.736843,-1889389599.736843,3069559382.263157
19,169.442,10.005335947,25115251943.473682,-1890095958.4736824,3064226817.5263176
19,169.545,10.007072135,25108672084.789474,-1876856767.7894745,3083981770.2105255
19,169.788,10.004975366,25113709905.05263,-1881076667.0526314,3085125938.9473686
19,175.823,10.005059291,25102803875.210526,-1877947666.2105255,3070830544.7894745
20,173.178,10.004655027,24527295689.15,-1191632965.1500015,566468572.8499985
20,173.911,10.004661639,24556870742.0,-1189024648.0,532691036.0
20,172.891,10.004640670,24550451732.0,-1184482932.0,540312975.0
20,172.358,10.005111643,24537996037.6,-1182609884.5999985,554336969.4000015
20,172.508,10.004566859,24556874401.65,-1194765147.6500015,530755216.3499985
20,172.419,10.004546158,24537249821.2,-1177987589.2000008,551236634.7999992
20,172.261,10.004857332,24522077208.15,-1140786438.1500015,566463090.8499985
20,171.976,10.004663704,24509181209.75,-1152152597.75,575615910.25
20,171.489,10.004613833,24533402744.5,-1185883851.5,556447693.5
20,171.1,10.004915253,24531546021.5,-1194802401.5,556249283.5
21,177.904,10.005022686,24488157236.857143,-1132805428.8571434,607779801.1428566
21,177.932,10.004624618,24501907096.285713,-1133029021.2857132,590428028.7142868
21,177.803,10.005003426,24498695109.42857,-1143803452.4285698,593099147.5714302
21,177.963,10.005381788,24499107787.47619,-1146004079.4761887,588361650.5238113
21,176.155,10.004866611,25704110394.809525,-2334890863.8095245,24381776112.190475
21,176.251,10.004713118,24514972174.904762,-1155552430.9047623,572409708.0952377
21,176.399,10.004827846,24501270264.57143,-1133476094.5714302,589537258.4285698
21,176.278,10.004891580,24497340395.190475,-1110190920.1904755,589073296.8095245
21,175.769,10.004796635,24502933817.857143,-1136139116.8571434,585111883.1428566
21,175.348,10.005196440,24532067889.04762,-1144193928.0476189,559713423.9523811
22,182.802,10.004751622,24529578343.0,-1124298838.0,562322902.0
22,182.658,10.004677849,25487112897.590908,-2109784855.590908,20757474269.409092
22,182.709,10.004839920,24509955018.136364,-1130546138.136364,576831276.863636
22,182.645,10.004737544,24508096316.363636,-1105901680.363636,579224875.636364
22,182.511,10.004677549,24528240780.81818,-1106245434.81818,566882927.1818199
22,182.383,10.005021258,24541747643.363636,-1131941211.363636,545068956.636364
22,180.969,10.004594560,24531678592.772728,-1168460958.772728,1093018588.227272
22,180.67,10.008669501,24510304892.545456,-1131258641.545456,580308663.4545441
22,181.013,10.004681147,24515202367.636364,-1133215641.636364,572565369.363636
22,181.004,10.005189469,24523300360.590908,-1132716557.590908,563409475.409092
23,181.788,10.005164718,24510136702.260868,-1168822822.260868,581559890.7391319
23,180.739,10.005111182,24507221178.565216,-1168835259.565216,580060778.4347839
23,187.964,10.004930819,24574554700.608696,-1178691438.608696,1539647945.391304
23,187.678,10.005133749,24515173061.565216,-1170348330.565216,573526656.4347839
23,187.884,10.004748690,24520007709.260868,-1161467981.260868,566036927.7391319
23,187.76,10.005069647,24517435812.739132,-1168241225.739132,569721016.2608681
23,187.742,10.004721481,24517437154.217392,-1172191741.217392,568473786.782608
23,187.564,10.004782809,24531480609.913044,-1167900048.913044,554451156.086956
23,185.555,10.007649784,25421776683.0,-2025123528.0,20246407702.0
23,187.751,10.005083781,24545897279.04348,-1175574262.04348,533873257.9565201
24,186.548,10.004936873,24563071577.458332,-1187122641.458332,523103507.54166794
24,184.778,10.005015868,24552114815.958332,-1193552067.958332,537486355.0416679
24,193.564,10.004981840,24545988131.458332,-1196632945.458332,542443900.5416679
24,193.374,10.005300311,24562703679.708332,-1154771007.708332,526383211.29166794
24,191.846,10.004802768,24550432038.708332,-1214383145.708332,537140638.2916679
24,191.628,10.005082679,24547251007.5,-1223743947.5,542570523.5
24,191.676,10.005201624,24548886706.833332,-1220858292.833332,540964248.1666679
24,190.752,10.005583297,24537765295.833332,-1216589060.833332,552184673.1666679
24,190.059,10.005225738,24550883957.125,-1139362857.125,542242084.875
24,190.156,10.005473462,24533418021.958332,-1218451103.958332,555186789.0416679
25,191.437,10.005017117,24767728610.12,-1437288099.119999,5148534659.880001
25,190.986,10.005164654,24751259832.8,-1434695116.7999992,5187104327.200001
25,191.131,10.004686109,24750840573.36,-1435700408.3600006,5157516636.639999
25,190.838,10.004740890,24769398857.64,-1458853442.6399994,5147742967.360001
25,199.614,10.007744213,24761981495.84,-1410547429.8400002,5176948488.16
25,198.526,10.006018010,24770096400.12,-1472533786.119999,5136890497.880001
25,196.304,10.005405319,24756770278.16,-1448931611.1599998,5181296708.84
