threads,core,cycles,mperf,aperf,core_voltage,execution_time
1,9,5251908.0,3964020.0,4873630.0,98,10.031610177
1,10,5593393.0,4162920.0,5283066.0,94,10.031610177
1,11,635643.0,449140.0,470362.0,113,10.031610177
1,12,3965203.0,3102580.0,3669805.0,115,10.031610177
1,13,5341182.0,3844200.0,4958151.0,113,10.031610177
1,14,19600284.0,14326780.0,19267395.0,113,10.031610177
1,15,12899674.0,9326180.0,12575339.0,113,10.031610177
1,16,8926858.0,6085160.0,8261523.0,98,10.031610177
1,17,14953416.0,11165060.0,14493520.0,98,10.031610177
1,18,7720558.0,5632340.0,7276560.0,94,10.031610177
1,19,6105190.0,4375260.0,5630316.0,112,10.031610177
1,20,54481005.0,39285400.0,54077884.0,114,10.031610177
1,21,9901972.0,7421560.0,9463508.0,112,10.031610177
1,22,4909763.0,3758300.0,4480140.0,112,10.031610177
1,23,7502556.0,5481780.0,6952786.0,112,10.031610177
1,24,842409.0,550680.0,661449.0,95,10.031610177
1,25,888506.0,581680.0,701229.0,92,10.031610177
1,26,759547.0,486140.0,579425.0,92,10.031610177
1,27,745914.0,526680.0,571694.0,112,10.031610177
1,28,758871.0,536980.0,588250.0,113,10.031610177
1,29,723848.0,509620.0,551760.0,111,10.031610177
1,30,872381.0,610320.0,698927.0,111,10.031610177
1,31,768273.0,541520.0,596253.0,112,10.031610177
1,32,19351454.0,13877320.0,17257609.0,96,10.031610177
1,33,8806204.0,7102100.0,8743967.0,93,10.031610177
1,34,9351863.0,7567300.0,9269359.0,112,10.031610177
1,35,17952457.0,14211580.0,17858673.0,111,10.031610177
1,36,8239872.0,6724760.0,8129100.0,112,10.031610177
1,37,18700817.0,14886040.0,18549140.0,110,10.031610177
1,38,17321917.0,13523800.0,17248275.0,112,10.031610177
1,39,13584187.0,10851980.0,13509136.0,110,10.031610177
1,40,3969280.0,3170420.0,3931980.0,98,10.031610177
1,41,8670209.0,6997340.0,8637153.0,98,10.031610177
1,42,5680051.0,4536420.0,5645003.0,94,10.031610177
1,43,8649256.0,6633400.0,8601512.0,113,10.031610177
1,44,1813905.0,1510060.0,1796388.0,115,10.031610177
1,45,117700.0,107460.0,120386.0,113,10.031610177
1,46,105325.0,97580.0,107699.0,113,10.031610177
1,47,4790346.0,3889440.0,4771222.0,113,10.031610177
1,48,9108763.0,7063340.0,9033675.0,98,10.031610177
1,49,6511079.0,5050020.0,6381421.0,98,10.031610177
1,50,4037231.0,3102300.0,3904771.0,94,10.031610177
1,51,6227922.0,4891800.0,6153993.0,112,10.031610177
1,52,2810001.0,2277460.0,2759435.0,114,10.031610177
1,53,5915359.0,4543560.0,5872852.0,112,10.031610177
1,54,3901171.0,3150740.0,3817824.0,112,10.031610177
1,55,56302445.0,40689580.0,56243260.0,112,10.031610177
1,56,173455.0,156000.0,175227.0,95,10.031610177
1,57,135938.0,124640.0,136092.0,92,10.031610177
1,58,153899.0,136300.0,156262.0,92,10.031610177
1,59,175065.0,152780.0,176816.0,112,10.031610177
1,60,162145.0,140660.0,163785.0,113,10.031610177
1,61,149676.0,130380.0,151443.0,111,10.031610177
1,62,169800.0,147220.0,172443.0,111,10.031610177
1,63,165003.0,143500.0,167417.0,112,10.031610177
1,0,29864596703.0,19962309580.0,29864362957.0,96,10.031467624
1,1,39728569.0,29476880.0,37677479.0,93,10.031467624
1,2,19067705.0,18060840.0,22411336.0,112,10.031467624
1,3,80761609.0,62470540.0,78041578.0,111,10.031467624
1,4,13993049.0,10932140.0,13509896.0,112,10.031467624
1,5,61778321.0,44697580.0,61246288.0,110,10.031467624
1,6,68164581.0,49802300.0,67682650.0,112,10.031467624
1,7,23824010.0,18196400.0,22785593.0,110,10.031467624
1,8,4882147.0,3711720.0,4532282.0,98,10.031467624
1,9,5876358.0,4543440.0,5499126.0,98,10.031467624
1,10,7424529.0,5664500.0,7008316.0,94,10.031467624
1,11,4595994.0,3471860.0,4160006.0,113,10.031467624
1,12,8099633.0,6232360.0,7853556.0,115,10.031467624
1,13,6178503.0,4753080.0,5949318.0,113,10.031467624
1,14,4768642.0,3729540.0,4529501.0,113,10.031467624
1,15,10280940.0,8097720.0,9923976.0,113,10.031467624
1,16,7291680.0,4995260.0,6560044.0,98,10.031467624
1,17,6621360.0,5092920.0,6191419.0,98,10.031467624
1,18,4580970.0,3431220.0,4128638.0,94,10.031467624
1,19,5041801.0,3794380.0,4622870.0,112,10.031467624
1,20,9114483.0,7051000.0,8718244.0,114,10.031467624
1,21,4602881.0,3273520.0,4044745.0,112,10.031467624
1,22,4042310.0,3003800.0,3590942.0,112,10.031467624
1,23,10433747.0,7868080.0,9926396.0,112,10.031467624
1,24,702171.0,458760.0,536105.0,95,10.031467624
1,25,672736.0,433020.0,508095.0,92,10.031467624
1,26,767881.0,505080.0,603813.0,92,10.031467624
1,27,696546.0,502120.0,539491.0,112,10.031467624
1,28,659330.0,476380.0,498989.0,113,10.031467624
1,29,628909.0,446960.0,468892.0,111,10.031467624
1,30,712518.0,513960.0,553917.0,111,10.031467624
1,31,685205.0,492120.0,524873.0,112,10.031467624
1,32,10499447.0,6082180.0,7651550.0,96,10.031467624
